SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,MCX_POS_CODE,DUMMY_ID
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Senior Director,M6,ACBM6,216
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Executive,Unknown,EX,ACCEX,217
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Unknown,MX,ACCMX,218
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Director,M5,ACCM5,219
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Senior Manager,M4,ACCM4,220
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Manager,M3,ACCM3,221
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Senior Supervisor,M2,ACCM2,222
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Supervisor,M1,ACCM1,223
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Unknown,PX,ACCPX,224
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Fellow,P8,ACCP8,225
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Strategist,P7,ACCP7,226
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Advisory,P6,ACCP6,227
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Expert,P5,ACCP5,228
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Mastery,P4,ACCP4,229
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Proficiency,P3,ACCP3,230
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Developing,P2,ACCP2,231
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Professional,Entry,P1,ACCP1,232
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Unknown,SX,ACCSX,233
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Specialist,S5,ACCS5,234
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Advanced,S4,ACCS4,235
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Skilled,S3,ACCS3,236
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Proficient,S2,ACCS2,237
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Support,Associate,S1,ACCS1,238
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Unknown,Unknown,XX,ACCXX,239
2021 Comptryx,General & Administrative,Corporate Support,Corporate Communications,ACC,Management,Senior Director,M6,ACCM6,240
2021 Comptryx,General & Administrative,Corporate Support,Corporate Development,ACD,Management,Unknown,MX,ACDMX,241
2021 Comptryx,General & Administrative,Corporate Support,Corporate Development,ACD,Management,Director,M5,ACDM5,242
