ORG_INFO_COMPANY_CODE,YOUR_EEID,COUNTRY_NAME,IND_NAME,POS_CODE,YOUR_CODE,YOUR_TITLE,YOUR_GRADE,EMP_ROLE,SUP_ID,ORG_CODE,EMP_TYPE,EMP_CLASS,TIME_W,BASE_SALARY,CURR_CODE,NUM_MONTHS,STIELIG,BONTGT
Company A,20046935,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,40244777,CMPT,Regular,US - non-Exempt,100%,82400,USD,12,Y,2637
Company A,9441865,United States,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M24,Internal,949893,PNT,Regular,US - non-Exempt,100%,82386,USD,12,Y,2636
Company A,428607,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,42944513,STOR,Regular,US - non-Exempt,100%,82078,USD,12,Y,2626
Company A,20047347,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43242951,GOM,Regular,US - non-Exempt,100%,82051,USD,12,Y,2626
Company A,120288215,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1300855,GOM,Regular,US - non-Exempt,100%,81964,USD,12,Y,2623
Company A,162213237,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,40863243,GOM,Regular,US - non-Exempt,100%,81751,USD,12,Y,2616
Company A,486289,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120063435,GOM,Regular,US - non-Exempt,100%,81350,USD,12,Y,2603
Company A,444005,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,717243,EDG,Regular,US - non-Exempt,100%,81022,USD,12,Y,2593
Company A,1161659,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,986881,LEGO,Regular,US - non-Exempt,100%,80983,USD,12,Y,2591
Company A,40236299,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,15665297,FIN,Regular,US - non-Exempt,100%,80823,USD,12,Y,2586
Company A,40606723,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,43183075,GOM,Regular,US - non-Exempt,100%,80603,USD,12,Y,2579
Company A,20013073,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120043175,GLMC,Regular,US - non-Exempt,100%,80346,USD,12,Y,2571
Company A,20043381,United States,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M24,Internal,20040301,PNT,Regular,US - non-Exempt,100%,80122,USD,12,Y,2564
Company A,15461881,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43306197,GOM,Regular,US - non-Exempt,100%,80114,USD,12,Y,2564
Company A,43550501,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43838315,LEGO,Regular,US - non-Exempt,100%,79904,USD,12,Y,2557
Company A,20060623,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,40148189,LEGO,Regular,US - non-Exempt,100%,79903,USD,12,Y,2557
Company A,120247431,Australia,Professional Services/Outsourcing Solutions,AAAS4,00450P,Assistant IV,M08,Internal,40069709,PNT,Regular,,100%,79735,AUD,12,Y,2794
Company A,40762531,Singapore,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M13,Internal,328173,GOM,Regular,,100%,79349,SGD,13,Y,2539
Company A,120043493,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,120004123,GLMC,Regular,US - non-Exempt,100%,79343,USD,12,Y,2539
Company A,444857,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120069935,LEGO,Regular,US - non-Exempt,100%,79333,USD,12,Y,2539
Company A,20028283,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,20048289,FIN,Regular,US - non-Exempt,100%,78810,USD,12,Y,2522
Company A,20027657,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43649823,GOM,Regular,US - non-Exempt,100%,78111,USD,12,Y,2500
Company A,120219001,Singapore,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M13,Internal,1024985,GOM,Regular,,100%,78007,SGD,13,Y,2496
Company A,1034941,Singapore,Networking,AAAS4,00450R,Executive Assistant II,M13,Internal,1160829,EDG,Regular,,100%,77631,SGD,13,Y,2484
Company A,70032421,Australia,Professional Services/Outsourcing Solutions,AAAS4,00450P,Assistant IV,M08,Internal,70030353,PNT,Regular,,100%,77548,AUD,12,Y,4246
Company A,62921,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1112009,GLMC,Regular,US - non-Exempt,100%,76991,USD,12,Y,2464
Company A,120259911,Singapore,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M13,Internal,40098283,HR,Regular,,100%,76823,SGD,13,Y,2458
Company A,120289013,United States,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M24,Internal,120298207,PNT,Regular,US - non-Exempt,100%,76432,USD,12,Y,2446
