SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,FAMILY_TITLE,SUB-FAMILY_TITLE,UNIVERSAL_NAVIGATION_GROUP_TITLE,SPECIALIZATION_CODE,SPECIALIZATION_TITLE,INDUSTRY,FUNCTION,DEPARTMENT,CAREER_STREAM_LEVEL,LIBRARY_JOB_CODE,LIBRARY_JOB_TITLE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Executive,"Officer, EVP, SVP, VP","E4,E3,E2,E1","Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,77
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Unknown,MX,,,,,,,,,,,,78
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Director,M6,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,79
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Director,M5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M50,AFS.01.001.M50,General Office Administration & Secretarial Management - Senior Manager II (M5),80
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Manager,M4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M40,AFS.01.001.M40,General Office Administration & Secretarial Management - Senior Manager (M4),81
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Manager,M3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M30,AFS.01.001.M30,General Office Administration & Secretarial Management - Manager (M3),82
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Supervisor,M2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M20,AFS.01.001.M20,General Office Administration & Secretarial Management - Team Leader (Professionals) (M2),83
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Supervisor,M1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.043,Office/Mailroom/Clerical Support,Cross Industry,Administrative Services,Administrative Support,M10,AFS.01.043.M10,Office/Mailroom/Clerical Support - Team Leader (Para-Professionals) (M1),84
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Unknown,PX,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,85
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Fellow,P8,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,86
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Strategist,P7,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,87
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Advisory,P6,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P50,AFS.01.040.P50,General Office Operations - Expert Professional (P5),88
